Name_A,Name_B,MF_Score_Dif,DF_Score_Dif,FW_Score_Dif,GK_Score_Dif,Total_Score_Dif
Rarita,Sobianitedrucy,2699162.836,2767109.441,-1590437.282,-554069.8966,1648194.968
Rarita,People's Land of Maneau,1649573.437,2957010.815,3117081.113,-3418365.91,1931103.03
Rarita,Nganion,1954821.471,805871.4435,-6758525.761,-302255.69,-252412.3231
Rarita,Mico,-1102228.034,975142.3008,-2771021.842,-581865.2395,-602931.9867
Rarita,Quewenia,-446247.4008,907277.8798,367332.7191,1146539.443,338666.0725
Rarita,Southern Ristan,7282930.077,1841012.492,7554380.65,-648609.7176,4632356.533
Rarita,Galamily,4685437.26,3240272.622,1893454.171,-809012.9722,3152794.082
Rarita,Bernepamar,4231510.156,3305094.805,3666550.07,-219186.3329,3387303.059
Rarita,Giumle Lizeibon,3003830.07,4590670.138,-726211.8368,1010784.966,2721487.466
Rarita,Greri Landmoslands,5308965.21,700480.6056,-3626125.769,-374062.327,1491951.763
Rarita,Xikong,5519922.696,6175983.275,-1255812.157,62128.16911,4030375.249
Rarita,Manlisgamncent,2834840.926,2785403.814,-994419.5145,3109402.559,2145594.772
Rarita,Esia,1933599.398,2027710.309,2809497.076,771598.6449,2021439.239
Rarita,Byasier Pujan,4138186.907,740343.5099,4145427.41,42264.18671,2531567.334
Rarita,Djipines,1047707.847,4931349.515,8319205.641,-1440345.176,3555845.05
Rarita,Leoneku Guidisia,5950387.192,4927556.253,7040617.914,-4460967.099,4830185.683
Rarita,Ledian,8495131.373,2783145.802,6098291.183,1549308.111,5350818.107
Rarita,Eastern Sleboube,-2986108.8,4657204.825,260545.1793,1788352.104,817620.5965
Rarita,New Uwi,7862040.152,2470889.827,5810249.108,-1641665.442,4664595.699
Rarita,Ngoque Blicri,-406060.481,1551130.903,-2014489.678,-2213061.79,-151069.0414
Rarita,Nkasland Cronestan,1964554.174,3048425.081,-205516.0551,-1072262.922,1688056.544
Rarita,Eastern Niasland,4333506.188,358784.8211,7878391.501,-1342554.812,3016672.021
Rarita,Varijitri Isles,5610086.262,-1245048.77,-234129.5034,-1216246.748,1434149.474
